"Machine","Position","PartNo","FIDL","Pickup","Usage","Reject","NoPick","Error","Dislodge","Rescan","Pickup","Reject","Error","Dislodge","Success"
"NXT","M1-4","532-0011-00","KT8BC 165556","2","2","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-5","532-0225-00","KT8BC 211199","4","4","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-6","512-0023-00","KT8BL 347215","8","8","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-7","532-0035-00","KT8BL 344532","12","12","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-8","532-0002-00","KT8BC 044095","14","14","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-9","532-0142-00","KT8BL 348407","16","16","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-10","512-0058-00","KT8BE 072653","24","24","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-11","532-0211-00","KT8BC 211160","96","96","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-12","542-0021-00","KT8BC 047019","16","16","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-13","512-0065-00","KT8BL 582368","16","16","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-14","522-0030-00","KT8BC 044094","12","12","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-15","512-0008-00","KT8BC 033917","12","12","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-16","512-0020-00","KT8BL 345328","4","4","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-17","522-0031-00","KT8BL 345453","4","4","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M1-18","532-0201-00","KT8BC 035951","2","2","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
"NXT","M2-4","522-0031-00","KT8BC 088831","2","2","0","0","0","0","0","100.00","0.00","0.00","0.00","100.00"
